"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Dadra and Nagar Haveli and Daman and Diu","Other Expenditure of UT - Dadra and Nagar Haveli and Daman and Diu","Total Other Expenditure of UT - Dadra and Nagar Haveli and Daman and Diu","...","...","...","8.2"
"Defence Pensions","Pensions and other Retirement Benefits","Army","86356.71","95193","98935.44","113257"
"Defence Pensions","Pensions and other Retirement Benefits","Navy","5606.99","6136.2","6863","7234"
"Defence Pensions","Pensions and other Retirement Benefits","Air Force","9790.57","10730.07","11991","13313"
"Defence Pensions","Rewards-Army, Navy and Air Force","Total Rewards-Army, Navy and Air Force","20.34","20.3","21","21"
"Defence Pensions","Pensions and other Retirement Benefits","Total Pensions and other Retirement Benefits","101774.61","112079.57","117810.44","133825"
"Defence Services (Revenue)","Army","Pay and Allowances of the Army","86991.47","86839.37","88462.99","93565.01"
"Defence Services (Revenue)","Army","Pay and Allowances and miscellaneous expenses of Auxiliary Forces","1578.63","1630.34","1690.34","1744.66"
"Defence Services (Revenue)","Army","Pay and Allowances of Civilians","6090.8","6736.12","6836.12","7213.93"
"Defence Services (Revenue)","Army","Transportation","4666.83","4193.63","4693.63","4393.93"
"Defence Services (Revenue)","Army","Military Farms","250.24","293.42","205.42","263.52"
"Defence Services (Revenue)","Army","Ex-Servicemen Contributory Health Scheme","3222.49","3281.26","4872.29","3301.98"
"Defence Services (Revenue)","Army","Inspection Director General Quality Audit (DGQA)","1104.76","1202.7","1286.7","1254.63"
"Defence Services (Revenue)","Army","Stores","19434.26","20337.4","19364.79","18327.64"
"Defence Services (Revenue)","Army","Works","7743.51","8322.12","8695.68","8441.13"
"Defence Services (Revenue)","Army","Rashtriya Rifles","6882.24","7003.25","7182.97","7375.48"
"Defence Services (Revenue)","Army","National Cadet crops","1415.36","1607.28","1618.28","1661.5"
"Defence Services (Revenue)","Army","Other Expenditure","2449.02","2934.06","2934.07","3013.5"
"Defence Services (Revenue)","Army","Less Revenue Receipts","-3544.51","-2879.76","-3882.75","-3616.4"
"Defence Services (Revenue)","Navy","Pay and Allowances of the Navy","6046.1","6660","6960","7432"
"Defence Services (Revenue)","Navy","Pay and Allowances of Civilians","2551.13","2800","2895.93","3094.33"
"Defence Services (Revenue)","Navy","Transportaton","538.85","585.74","542.71","498.13"
"Defence Services (Revenue)","Navy","Repairs and Refits","1355.38","1255.95","1629.8","1255.95"
"Defence Services (Revenue)","Navy","Stores","6267.15","5812.35","5885.18","5703.93"
"Defence Services (Revenue)","Navy","Works","1429.77","1600.07","1500.98","1465.67"
"Defence Services (Revenue)","Navy","Joint Staff","2780.46","3180.51","3270.23","3439.65"
"Defence Services (Revenue)","Navy","Other Expenditure","770.04","817.09","801.88","645.09"
"Defence Services (Revenue)","Navy","Less Revenue Receipts","-882.64","-500","-700","-600"
"Defence Services (Revenue)","Air Force","Pay and Allowances of the Air Force","14255.37","14962.04","15342.04","16311.64"
"Defence Services (Revenue)","Air Force","Pay and Allowances of Reserve and Auxiliary Services","...","...","...","..."
"Defence Services (Revenue)","Air Force","Pay and Allowances of Civilians","1514.85","1623.66","1573.99","1627.06"
"Defence Services (Revenue)","Air Force","Transportation","1050.62","1169.96","1298.33","1087.49"
"Defence Services (Revenue)","Air Force","Stores","8945.17","9473.37","9718.72","9110.43"
"Defence Services (Revenue)","Air Force","Works","2847.26","2590.89","2510.56","2486.63"
"Defence Services (Revenue)","Air Force","Special Projects","...","0.01","0.12","0.01"
"Defence Services (Revenue)","Air Force","Other Expenditure","757.27","781.76","807.93","639.4"
"Defence Services (Revenue)","Air Force","Less Revenue Receipts","-1079.29","-1000","-1300","-1300"
"Defence Services (Revenue)","Defence  Ordnance Factories","Direction and Administration","145.98","150.18","166","176"
"Defence Services (Revenue)","Defence  Ordnance Factories","Research and Development","90.81","96","105","120"
"Defence Services (Revenue)","Defence  Ordnance Factories","Maintenance - Machinery and Equipments","36.29","40","42.35","46"
"Defence Services (Revenue)","Defence  Ordnance Factories","Manufacture","6348.06","6930","6820","7162.35"
"Defence Services (Revenue)","Defence  Ordnance Factories","Transportation","130.23","155","140","150"
"Defence Services (Revenue)","Defence  Ordnance Factories","Renewal and Replacement","398.35","475","475","400"
"Defence Services (Revenue)","Defence  Ordnance Factories","Stores","4821.96","5880.91","4592","5508.18"
"Defence Services (Revenue)","Defence  Ordnance Factories","Works","234.22","250","245","240"
"Defence Services (Revenue)","Defence  Ordnance Factories","Tranfer to /from Renewal Reserve Fund-Renewal Reserve Fund Ordnance Factories","76.65","...","...","..."
"Defence Services (Revenue)","Defence  Ordnance Factories","Other Expenditure","1009.27","1201","1235","1200"
"Defence Services (Revenue)","Defence  Ordnance Factories","Deduct - Recoveries for Supplies made to Army, Navy, Air Force etc","-10779.73","-12546.32","-10612.02","-11082.85"
"Defence Services (Revenue)","Defence  Ordnance Factories","Less Revenue Receipts","-2191.49","-2581.19","-3012.5","-3233.08"
"Defence Services (Revenue)","Research and Development","Training","15.97","20","21","24"
"Defence Services (Revenue)","Research and Development","Research /Research Development","1016.53","1178.27","1330.17","845.36"
"Defence Services (Revenue)","Research and Development","Pay and Allowances of  Service Personnel","418.73","440","440","488"
"Defence Services (Revenue)","Research and Development","Pay and Allowances of Civilians","3063.99","3132.07","3291.32","3515.55"
"Defence Services (Revenue)","Research and Development","Transportation","153.23","200","200","210"
"Defence Services (Revenue)","Research and Development","Stores","2415.21","2550","2689.32","2550"
"Defence Services (Revenue)","Research and Development","Works","977.11","1020","1020","1020.47"
"Defence Services (Revenue)","Research and Development","Other Expenditure","370.67","396.25","415.19","441.1"
"Defence Services (Revenue)","Research and Development","Less Revenue Receipts","-613.06","-400","-400","-300"
"Defence Services (Revenue)","Defence Services - Army","Total Defence Services - Army","138285.1","141501.19","143960.53","146940.51"
"Defence Services (Revenue)","Defence Services - Navy","Total Defence Services - Navy","20856.24","22211.71","22786.71","22934.75"
"Defence Services (Revenue)","Defence Services - Air Force","Total Defence Services - Air Force","28291.25","29601.69","29951.69","29962.66"
"Defence Services (Revenue)","Defence Services - Ordnance Factories","Total Defence Services - Ordnance Factories","320.6","50.58","195.83","686.6"
"Defence Services (Revenue)","Defence Services - Research and Development","Total Defence Services - Research and Development","7818.38","8536.59","9007","8794.48"
"Department for Promotion of lndustry and lnternal Trade","Secretariat","Total Secretariat","76.96","104.65","97.5","114.23"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Modernisation and strengthening of Intellectual Property Offices","108.44","177.75","126.02","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Strengthening of Intellectual Property Appellate Board (IPAB)","5.8","15.04","5.42","11.8"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Controller General of Patent Designs and Trademarks","77.85","87.67","98.16","232.58"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","National Institute of Intellectual Property Management","1.79","2.69","2.86","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Semi-conductor Integrated Circuit Layout Design Registry","...","0.01","...","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Semi-Conductor Integrated Circuit Layout Design Board","...","0.01","...","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Cell for Promotion of Intellectual Property and Management (CIPAM)","4.36","8.96","7","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Copyright Office","2.61","3.7","3.09","3.3"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Scheme for Pedagogy and Research in IPRs for Holistic Education and Academia","0.22","4.4","2.4","..."
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Intellectual Policy Rights (IPR) Policy Management","...","...","...","9.4"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Infrastructure Development Intellectual Property Appellate Board (IDIPAB)","...","...","...","7.39"
"Department for Promotion of lndustry and lnternal Trade","Intellectual Property","Infrastructure Development in Controller General of Patents Designs and Trade Marks (IDCGPDTM)","...","...","...","59.23"
"Department for Promotion of lndustry and lnternal Trade","Attached and Subordinate Offices","Petroleum and Explosives Safety Organisation (PESO)","69.37","83.27","73.97","77.67"
"Department for Promotion of lndustry and lnternal Trade","Attached and Subordinate Offices","Salt Commissioner","30.77","37.61","34.96","31.46"
"Department for Promotion of lndustry and lnternal Trade","Attached and Subordinate Offices","Tariff Commission","6.33","8.53","7.08","7.53"
"Department for Promotion of lndustry and lnternal Trade","Attached and Subordinate Offices","Survey of Boiler","0.3","0.27","0.38","0.4"
"Department for Promotion of lndustry and lnternal Trade","Indian Leather Development Programme (ILDP)","Total Indian Leather Development Programme (ILDP)","239.13","458","372","370"
"Department for Promotion of lndustry and lnternal Trade","Industrial Infrastructure Upgradation Scheme (IIUS)","Total Industrial Infrastructure Upgradation Scheme (IIUS)","75.52","100","18","25"
"Department for Promotion of lndustry and lnternal Trade","Price and Production Statistics","Total Price and Production Statistics","8.6","7.33","15.88","12"
"Department for Promotion of lndustry and lnternal Trade","National Industrial Corridor Development and Implementation Trust (NICDIT)","Total National Industrial Corridor Development and Implementation Trust (NICDIT)","1097","850","950","1200"
"Department for Promotion of lndustry and lnternal Trade","Amritsar Kolkata Industrial Corridor Project (AKIC)","Total Amritsar Kolkata Industrial Corridor Project (AKIC)","3","2.7","2.7","..."
"Department for Promotion of lndustry and lnternal Trade","Exhibition-Cum-Convention Centre, Dwarka","Total Exhibition-Cum-Convention Centre, Dwarka","699.99","500.11","654.42","347.42"
"Department for Promotion of lndustry and lnternal Trade","Scheme for Investment Promotion","Total Scheme for Investment Promotion","105.91","232.02","143.37","140"
"Department for Promotion of lndustry and lnternal Trade","Scheme for implementation of National Manufacturing Policy","Total Scheme for implementation of National Manufacturing Policy","0.22","8.47","8.47","..."
"Department for Promotion of lndustry and lnternal Trade","Ease of Doing Business (e-Biz Project)","Total Ease of Doing Business (e-Biz Project)","11.28","106.4","1.6","7"
"Department for Promotion of lndustry and lnternal Trade","Fund of Funds","Total Fund of Funds","...","100","431.3","1054.97"
"Department for Promotion of lndustry and lnternal Trade","Credit Guarantee Fund","Total Credit Guarantee Fund","...","0.01","...","10"
"Department for Promotion of lndustry and lnternal Trade","Startup India","Total Startup India","19.01","25","57.84","50"
"Department for Promotion of lndustry and lnternal Trade","Ease of Doing Business","Total Ease of Doing Business","1.5","1.4","9","20"
"Department for Promotion of lndustry and lnternal Trade","North Eastern Industrial and Investment Promotion Policy (NEIPP)","Total North Eastern Industrial and Investment Promotion Policy (NEIPP)","527.99","483.53","543.53","200"
"Department for Promotion of lndustry and lnternal Trade","Transport/Freight Subsidy Scheme","Total Transport/Freight Subsidy Scheme","932.25","293.31","342.88","300"
"Department for Promotion of lndustry and lnternal Trade","Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand","Total Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand","144.96","133","133.01","175"
"Department for Promotion of lndustry and lnternal Trade","Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Total Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","1499.86","1700","2100.49","1716"
"Department for Promotion of lndustry and lnternal Trade","North East Industrial Development Scheme (NEIDS) 2017","Total North East Industrial Development Scheme (NEIDS) 2017","...","...","50","100"
"Department for Promotion of lndustry and lnternal Trade","Autonomous Organisations","Support to Autonomous Institutions","198.37","72.9","116.8","250"
"Department for Promotion of lndustry and lnternal Trade","Autonomous Organisations","World Intellectual Property Organisation (WIPO)","0.63","0.6","0.66","0.7"
"Department for Promotion of lndustry and lnternal Trade","Autonomous Organisations","Asian Productivity Organization/United Nations Industrial Development Organization","14.28","13.15","32.22","22.47"
"Department for Promotion of lndustry and lnternal Trade","Autonomous Organisations","Assistance to Autonomous Bodies","56.28","52.02","46.99","50"
"Department for Promotion of lndustry and lnternal Trade","Actual Recovery","Total Actual Recovery","-2.94","...","...","..."
"Department for Promotion of lndustry and lnternal Trade","Other Administrative Services","Total Other Administrative Services","69.37","83.27","73.97","77.67"
"Department for Promotion of lndustry and lnternal Trade","Capital Outlay on Public Works","Total Capital Outlay on Public Works","17.56","72.62","22.5","66.62"
"Department for Promotion of lndustry and lnternal Trade","Industries","Total Industries","760.49","1116.76","838.81","969.58"
"Department for Promotion of lndustry and lnternal Trade","Other Outlays on Industries and Minerals","Total Other Outlays on Industries and Minerals","4204.91","2514.05","2842.12","2949.44"
"Department for Promotion of lndustry and lnternal Trade","Secretariat-Economic Services","Total Secretariat-Economic Services","76.95","104.65","97.5","114.23"
"Department for Promotion of lndustry and lnternal Trade","Other General Economic Services","Total Other General Economic Services","188.37","226.06","231.77","269.28"
"Department for Promotion of lndustry and lnternal Trade","Capital Outlay on Other Industries","Total Capital Outlay on Other Industries","699.99","600.1","1085.71","1402.38"
"Department for Promotion of lndustry and lnternal Trade","North Eastern Areas","Total North Eastern Areas","...","957","1297.62","756.35"
"Department of  Drinking Water and Sanitation","Secretariat","Total Secretariat","14.73","21.68","21.12","24"
